Tick,Evento,Tipo de Comercio,ID Pedido
566,Entró el pedido al sistema,restaurante,239
567,Se Termino de elaborar el pedido,restaurante,209
567,Se empezó a elaborar el pedido,restaurante,218
567,Comenzó el envio del pedido,restaurante,209
568,Se Termino de elaborar el pedido,restaurante,235
568,Se asignó el rapartidor,restaurante,222
569,Entró el pedido al sistema,restaurante,240
569,Finalizó el envío del pedido,restaurante,206
570,Se Termino de elaborar el pedido,restaurante,228
570,Se asignó el rapartidor,restaurante,227
570,Finalizó el envío del pedido,restaurante,217
571,Se Termino de elaborar el pedido,restaurante,219
571,Se empezó a elaborar el pedido,restaurante,222
571,Comenzó el envio del pedido,restaurante,219
572,Se Termino de elaborar el pedido,restaurante,230
572,Se empezó a elaborar el pedido,restaurante,233
573,Entró el pedido al sistema,restaurante,241
574,Se empezó a elaborar el pedido,restaurante,241
574,Se asignó el rapartidor,restaurante,230
575,Comenzó el envio del pedido,restaurante,230
575,Se Termino de elaborar el pedido,restaurante,232
575,Se asignó el rapartidor,restaurante,234
576,Entró el pedido al sistema,restaurante,242
576,Se Termino de elaborar el pedido,restaurante,226
576,Se Termino de elaborar el pedido,restaurante,211
576,Se empezó a elaborar el pedido,restaurante,213
576,Comenzó el envio del pedido,restaurante,211
577,Se empezó a elaborar el pedido,restaurante,242
577,Se asignó el rapartidor,restaurante,221
578,Comenzó el envio del pedido,restaurante,221
579,Finalizó el envío del pedido,restaurante,225
580,Se Termino de elaborar el pedido,restaurante,227
580,Se asignó el rapartidor,restaurante,231
580,Comenzó el envio del pedido,restaurante,227
580,Finalizó el envío del pedido,restaurante,219
581,Entró el pedido al sistema,restaurante,243
581,Finalizó el envío del pedido,restaurante,214
583,Se asignó el rapartidor,restaurante,232
583,Comenzó el envio del pedido,restaurante,232
585,Finalizó el envío del pedido,restaurante,209
586,Entró el pedido al sistema,restaurante,244
587,Se empezó a elaborar el pedido,restaurante,244
587,Se asignó el rapartidor,restaurante,235
587,Finalizó el envío del pedido,restaurante,230
588,Entró el pedido al sistema,farmacia,245
588,Comenzó el envio del pedido,restaurante,235
588,Se Termino de elaborar el pedido,restaurante,213
588,Comenzó el envio del pedido,restaurante,213
589,Se Termino de elaborar el pedido,restaurante,237
589,Se Termino de elaborar el pedido,restaurante,218
589,Se empezó a elaborar el pedido,farmacia,245
589,Se Termino de elaborar el pedido,farmacia,245
589,Se empezó a elaborar el pedido,restaurante,231
589,Comenzó el envio del pedido,restaurante,218
590,Entró el pedido al sistema,restaurante,246
590,Se asignó el rapartidor,restaurante,223
591,Comenzó el envio del pedido,restaurante,223
591,Se empezó a elaborar el pedido,restaurante,246
591,Finalizó el envío del pedido,restaurante,227
592,Finalizó el envío del pedido,restaurante,221
593,Entró el pedido al sistema,restaurante,247
594,Se empezó a elaborar el pedido,restaurante,247
596,Finalizó el envío del pedido,restaurante,211
597,Entró el pedido al sistema,restaurante,248
597,Finalizó el envío del pedido,restaurante,218
597,Finalizó el envío del pedido,restaurante,232
597,Finalizó el envío del pedido,restaurante,235
598,Se asignó el rapartidor,farmacia,245
599,Se asignó el rapartidor,restaurante,239
599,Comenzó el envio del pedido,farmacia,245
601,Entró el pedido al sistema,restaurante,249
601,Se Termino de elaborar el pedido,restaurante,233
601,Se asignó el rapartidor,restaurante,237
601,Entró el pedido al sistema,restaurante,250
601,Finalizó el envío del pedido,restaurante,213
602,Entró el pedido al sistema,farmacia,251
602,Se empezó a elaborar el pedido,restaurante,249
602,Se Termino de elaborar el pedido,restaurante,231
602,Comenzó el envio del pedido,restaurante,237
602,Se empezó a elaborar el pedido,restaurante,250
602,Comenzó el envio del pedido,restaurante,231
603,Entró el pedido al sistema,restaurante,252
603,Se empezó a elaborar el pedido,farmacia,251
603,Se Termino de elaborar el pedido,farmacia,251
604,Se empezó a elaborar el pedido,restaurante,252
604,Se Termino de elaborar el pedido,restaurante,238
604,Se asignó el rapartidor,restaurante,228
604,Se empezó a elaborar el pedido,restaurante,239
604,Comenzó el envio del pedido,restaurante,238
605,Se asignó el rapartidor,farmacia,251
605,Comenzó el envio del pedido,restaurante,228
606,Entró el pedido al sistema,restaurante,253
606,Se Termino de elaborar el pedido,restaurante,234
606,Comenzó el envio del pedido,farmacia,251
606,Se asignó el rapartidor,restaurante,233
606,Entró el pedido al sistema,almacen,254
606,Se empezó a elaborar el pedido,restaurante,236
606,Comenzó el envio del pedido,restaurante,234
607,Se empezó a elaborar el pedido,almacen,254
607,Comenzó el envio del pedido,restaurante,233
607,Se Termino de elaborar el pedido,almacen,254
608,Se Termino de elaborar el pedido,restaurante,244
608,Se asignó el rapartidor,restaurante,225
608,Finalizó el envío del pedido,restaurante,223
609,Entró el pedido al sistema,restaurante,255
609,Comenzó el envio del pedido,restaurante,226
609,Se asignó el rapartidor,restaurante,240
609,Finalizó el envío del pedido,restaurante,228
611,Se Termino de elaborar el pedido,restaurante,222
611,Se Termino de elaborar el pedido,restaurante,242
611,Finalizó el envío del pedido,farmacia,245
611,Se empezó a elaborar el pedido,restaurante,243
611,Se empezó a elaborar el pedido,restaurante,248
611,Comenzó el envio del pedido,restaurante,222
612,Se Termino de elaborar el pedido,restaurante,249
612,Se asignó el rapartidor,restaurante,238
613,Entró el pedido al sistema,farmacia,256
613,Finalizó el envío del pedido,restaurante,237
614,Se empezó a elaborar el pedido,farmacia,256
614,Se Termino de elaborar el pedido,farmacia,256
615,Se asignó el rapartidor,restaurante,241
615,Finalizó el envío del pedido,restaurante,238
616,Entró el pedido al sistema,restaurante,257
616,Se asignó el rapartidor,farmacia,256
616,Se empezó a elaborar el pedido,restaurante,257
616,Comenzó el envio del pedido,farmacia,256
616,Finalizó el envío del pedido,restaurante,234
617,Entró el pedido al sistema,restaurante,258
617,Se Termino de elaborar el pedido,restaurante,241
617,Se asignó el rapartidor,restaurante,236
617,Comenzó el envio del pedido,restaurante,241
618,Se empezó a elaborar el pedido,restaurante,258
618,Se Termino de elaborar el pedido,restaurante,246
618,Finalizó el envío del pedido,restaurante,231
621,Finalizó el envío del pedido,restaurante,233
622,Entró el pedido al sistema,restaurante,259
622,Finalizó el envío del pedido,restaurante,226
622,Se Termino de elaborar el pedido,restaurante,248
622,Se empezó a elaborar el pedido,restaurante,255
623,Se empezó a elaborar el pedido,restaurante,259
624,Entró el pedido al sistema,restaurante,260
624,Se Termino de elaborar el pedido,restaurante,247
624,Finalizó el envío del pedido,farmacia,251
624,Entró el pedido al sistema,restaurante,261
624,Entró el pedido al sistema,restaurante,262
625,Se empezó a elaborar el pedido,restaurante,260
625,Se empezó a elaborar el pedido,restaurante,262
625,Se Termino de elaborar el pedido,restaurante,250
625,Se empezó a elaborar el pedido,restaurante,261
625,Se asignó el rapartidor,restaurante,242
626,Entró el pedido al sistema,restaurante,263
626,Comenzó el envio del pedido,restaurante,242
626,Se asignó el rapartidor,almacen,254
627,Comenzó el envio del pedido,almacen,254
627,Se empezó a elaborar el pedido,restaurante,263
627,Se asignó el rapartidor,restaurante,248
628,Se Termino de elaborar el pedido,restaurante,252
628,Se asignó el rapartidor,restaurante,243
628,Comenzó el envio del pedido,restaurante,248
629,Se asignó el rapartidor,restaurante,250
630,Comenzó el envio del pedido,restaurante,250
630,Finalizó el envío del pedido,restaurante,241
630,Finalizó el envío del pedido,restaurante,222
631,Entró el pedido al sistema,restaurante,264
634,Entró el pedido al sistema,farmacia,265
634,Finalizó el envío del pedido,farmacia,256
634,Entró el pedido al sistema,restaurante,266
635,Se asignó el rapartidor,restaurante,252
635,Se empezó a elaborar el pedido,farmacia,265
635,Se empezó a elaborar el pedido,restaurante,266
635,Se Termino de elaborar el pedido,farmacia,265
635,Finalizó el envío del pedido,almacen,254
635,Finalizó el envío del pedido,restaurante,248
636,Comenzó el envio del pedido,restaurante,252
637,Se asignó el rapartidor,farmacia,265
638,Se Termino de elaborar el pedido,restaurante,236
638,Comenzó el envio del pedido,farmacia,265
638,Se asignó el rapartidor,restaurante,253
638,Comenzó el envio del pedido,restaurante,236
638,Finalizó el envío del pedido,restaurante,250
638,Finalizó el envío del pedido,restaurante,242
639,Entró el pedido al sistema,restaurante,267
639,Entró el pedido al sistema,restaurante,268
642,Se Termino de elaborar el pedido,restaurante,239
642,Se empezó a elaborar el pedido,restaurante,253
642,Comenzó el envio del pedido,restaurante,239
643,Entró el pedido al sistema,restaurante,269
643,Entró el pedido al sistema,farmacia,270
644,Entró el pedido al sistema,restaurante,271
644,Se empezó a elaborar el pedido,restaurante,269
644,Se empezó a elaborar el pedido,farmacia,270
644,Se Termino de elaborar el pedido,restaurante,261
644,Se asignó el rapartidor,restaurante,244
644,Se empezó a elaborar el pedido,restaurante,267
644,Se Termino de elaborar el pedido,farmacia,270
645,Entró el pedido al sistema,restaurante,272
645,Comenzó el envio del pedido,restaurante,244
645,Se asignó el rapartidor,farmacia,270
646,Se empezó a elaborar el pedido,restaurante,272
646,Se Termino de elaborar el pedido,restaurante,243
646,Comenzó el envio del pedido,farmacia,270
646,Se asignó el rapartidor,restaurante,246
646,Se empezó a elaborar el pedido,restaurante,240
646,Comenzó el envio del pedido,restaurante,243
647,Entró el pedido al sistema,farmacia,273
647,Comenzó el envio del pedido,restaurante,246
647,Se asignó el rapartidor,restaurante,247
647,Finalizó el envío del pedido,farmacia,265
648,Se empezó a elaborar el pedido,farmacia,273
648,Comenzó el envio del pedido,restaurante,247
648,Se asignó el rapartidor,farmacia,273
648,Se Termino de elaborar el pedido,farmacia,273
648,Finalizó el envío del pedido,restaurante,252
648,Comenzó el envio del pedido,farmacia,273
650,Entró el pedido al sistema,restaurante,274
650,Se asignó el rapartidor,restaurante,257
652,Se Termino de elaborar el pedido,restaurante,255
652,Se asignó el rapartidor,restaurante,255
653,Comenzó el envio del pedido,restaurante,255
654,Entró el pedido al sistema,restaurante,275
654,Se asignó el rapartidor,restaurante,260
654,Finalizó el envío del pedido,restaurante,236
655,Finalizó el envío del pedido,farmacia,270
656,Se Termino de elaborar el pedido,restaurante,262
656,Finalizó el envío del pedido,restaurante,239
656,Se empezó a elaborar el pedido,restaurante,268
657,Entró el pedido al sistema,restaurante,276
657,Se Termino de elaborar el pedido,restaurante,258
657,Se empezó a elaborar el pedido,restaurante,275
658,Entró el pedido al sistema,restaurante,277
658,Se asignó el rapartidor,restaurante,261
658,Entró el pedido al sistema,restaurante,278
658,Entró el pedido al sistema,almacen,279
659,Se empezó a elaborar el pedido,almacen,279
659,Se empezó a elaborar el pedido,restaurante,278
659,Se empezó a elaborar el pedido,restaurante,277
659,Se Termino de elaborar el pedido,restaurante,253
659,Se Termino de elaborar el pedido,restaurante,263
659,Se Termino de elaborar el pedido,almacen,279
659,Comenzó el envio del pedido,restaurante,261
659,Comenzó el envio del pedido,restaurante,253
661,Se Termino de elaborar el pedido,restaurante,257
661,Comenzó el envio del pedido,restaurante,257
662,Se Termino de elaborar el pedido,restaurante,240
662,Se asignó el rapartidor,restaurante,262
662,Se empezó a elaborar el pedido,restaurante,276
662,Finalizó el envío del pedido,restaurante,243
662,Finalizó el envío del pedido,restaurante,244
662,Comenzó el envio del pedido,restaurante,240
663,Entró el pedido al sistema,restaurante,280
663,Se Termino de elaborar el pedido,restaurante,259
663,Comenzó el envio del pedido,restaurante,262
663,Se empezó a elaborar el pedido,restaurante,264
664,Se Termino de elaborar el pedido,restaurante,260
664,Se empezó a elaborar el pedido,restaurante,274
664,Finalizó el envío del pedido,restaurante,253
664,Comenzó el envio del pedido,restaurante,260
664,Finalizó el envío del pedido,restaurante,247
665,Finalizó el envío del pedido,farmacia,273
666,Se asignó el rapartidor,restaurante,263
666,Finalizó el envío del pedido,restaurante,246
667,Comenzó el envio del pedido,restaurante,263
667,Se Termino de elaborar el pedido,restaurante,267
667,Finalizó el envío del pedido,restaurante,257
667,Finalizó el envío del pedido,restaurante,255
668,Entró el pedido al sistema,restaurante,281
668,Entró el pedido al sistema,restaurante,282
669,Se empezó a elaborar el pedido,restaurante,282
669,Se empezó a elaborar el pedido,restaurante,281
670,Se asignó el rapartidor,restaurante,268
670,Finalizó el envío del pedido,restaurante,261
671,Se asignó el rapartidor,restaurante,264
672,Comenzó el envio del pedido,restaurante,259
672,Se asignó el rapartidor,restaurante,249
672,Finalizó el envío del pedido,restaurante,263
673,Entró el pedido al sistema,restaurante,283
673,Comenzó el envio del pedido,restaurante,249
673,Se Termino de elaborar el pedido,restaurante,272
673,Finalizó el envío del pedido,restaurante,240
673,Finalizó el envío del pedido,restaurante,262
674,Se empezó a elaborar el pedido,restaurante,283
674,Entró el pedido al sistema,restaurante,284
674,Se Termino de elaborar el pedido,restaurante,275
674,Entró el pedido al sistema,restaurante,285
674,Se asignó el rapartidor,almacen,279
674,Se empezó a elaborar el pedido,restaurante,280
675,Se empezó a elaborar el pedido,restaurante,284
675,Se empezó a elaborar el pedido,restaurante,285
675,Comenzó el envio del pedido,almacen,279
676,Se Termino de elaborar el pedido,restaurante,276
676,Se Termino de elaborar el pedido,restaurante,266
677,Finalizó el envío del pedido,restaurante,260
678,Entró el pedido al sistema,restaurante,286
678,Se Termino de elaborar el pedido,restaurante,268
678,Se empezó a elaborar el pedido,restaurante,271
678,Comenzó el envio del pedido,restaurante,268
679,Se empezó a elaborar el pedido,restaurante,286
679,Se Termino de elaborar el pedido,restaurante,264
679,Se asignó el rapartidor,restaurante,267
680,Comenzó el envio del pedido,restaurante,267
680,Se asignó el rapartidor,restaurante,258
681,Comenzó el envio del pedido,restaurante,258
681,Se Termino de elaborar el pedido,restaurante,281
681,Se asignó el rapartidor,restaurante,259
682,Comenzó el envio del pedido,restaurante,264
682,Se asignó el rapartidor,restaurante,269
683,Entró el pedido al sistema,restaurante,287
683,Se asignó el rapartidor,restaurante,271
684,Se asignó el rapartidor,restaurante,272
684,Se empezó a elaborar el pedido,restaurante,287
685,Entró el pedido al sistema,farmacia,288
685,Comenzó el envio del pedido,restaurante,272
685,Se asignó el rapartidor,restaurante,275
686,Se empezó a elaborar el pedido,farmacia,288
686,Se Termino de elaborar el pedido,restaurante,278
686,Comenzó el envio del pedido,restaurante,275
686,Se asignó el rapartidor,farmacia,288
686,Se Termino de elaborar el pedido,farmacia,288
686,Comenzó el envio del pedido,farmacia,288
687,Se asignó el rapartidor,restaurante,266
687,Se Termino de elaborar el pedido,restaurante,269
687,Comenzó el envio del pedido,restaurante,269
687,Finalizó el envío del pedido,restaurante,259
687,Finalizó el envío del pedido,restaurante,267
688,Comenzó el envio del pedido,restaurante,266
688,Se asignó el rapartidor,restaurante,274
689,Finalizó el envío del pedido,restaurante,249
690,Entró el pedido al sistema,restaurante,289
690,Finalizó el envío del pedido,restaurante,268
692,Se Termino de elaborar el pedido,restaurante,277
692,Se asignó el rapartidor,restaurante,281
692,Finalizó el envío del pedido,restaurante,272
693,Comenzó el envio del pedido,restaurante,281
693,Finalizó el envío del pedido,almacen,279
693,Finalizó el envío del pedido,farmacia,288
694,Entró el pedido al sistema,restaurante,290
694,Se Termino de elaborar el pedido,restaurante,287
694,Finalizó el envío del pedido,restaurante,275
695,Se Termino de elaborar el pedido,restaurante,271
695,Se empezó a elaborar el pedido,restaurante,289
695,Comenzó el envio del pedido,restaurante,271
696,Se asignó el rapartidor,restaurante,282
697,Se Termino de elaborar el pedido,restaurante,282
697,Comenzó el envio del pedido,restaurante,282
697,Se Termino de elaborar el pedido,restaurante,280
697,Finalizó el envío del pedido,restaurante,269
699,Entró el pedido al sistema,restaurante,291
700,Se Termino de elaborar el pedido,restaurante,283
700,Se empezó a elaborar el pedido,restaurante,291
700,Se Termino de elaborar el pedido,restaurante,274
700,Finalizó el envío del pedido,restaurante,258
700,Finalizó el envío del pedido,restaurante,264
700,Comenzó el envio del pedido,restaurante,274
701,Se asignó el rapartidor,restaurante,276
701,Finalizó el envío del pedido,restaurante,266
702,Comenzó el envio del pedido,restaurante,276
702,Se asignó el rapartidor,restaurante,280
702,Finalizó el envío del pedido,restaurante,281
703,Comenzó el envio del pedido,restaurante,280
703,Se asignó el rapartidor,restaurante,284
704,Entró el pedido al sistema,restaurante,292
704,Se asignó el rapartidor,restaurante,278
705,Entró el pedido al sistema,farmacia,293
705,Se empezó a elaborar el pedido,restaurante,292
705,Comenzó el envio del pedido,restaurante,278
705,Se asignó el rapartidor,restaurante,289
705,Entró el pedido al sistema,restaurante,294
706,Se empezó a elaborar el pedido,farmacia,293
706,Se Termino de elaborar el pedido,farmacia,293
707,Se asignó el rapartidor,farmacia,293
707,Finalizó el envío del pedido,restaurante,271
708,Comenzó el envio del pedido,farmacia,293
709,Se asignó el rapartidor,restaurante,277
710,Entró el pedido al sistema,restaurante,295
710,Comenzó el envio del pedido,restaurante,277
710,Finalizó el envío del pedido,restaurante,282
711,Se empezó a elaborar el pedido,restaurante,295
711,Se Termino de elaborar el pedido,restaurante,285
713,Se asignó el rapartidor,restaurante,290
714,Entró el pedido al sistema,restaurante,296
714,Se Termino de elaborar el pedido,restaurante,291
714,Se asignó el rapartidor,restaurante,287
714,Entró el pedido al sistema,farmacia,297
715,Entró el pedido al sistema,restaurante,298
715,Se empezó a elaborar el pedido,farmacia,297
715,Se empezó a elaborar el pedido,restaurante,296
715,Comenzó el envio del pedido,restaurante,287
715,Se Termino de elaborar el pedido,farmacia,297
716,Se empezó a elaborar el pedido,restaurante,298
716,Se asignó el rapartidor,farmacia,297
717,Entró el pedido al sistema,restaurante,299
717,Comenzó el envio del pedido,farmacia,297
718,Entró el pedido al sistema,restaurante,300
718,Se Termino de elaborar el pedido,restaurante,286
718,Se empezó a elaborar el pedido,restaurante,299
719,Se empezó a elaborar el pedido,restaurante,300
719,Finalizó el envío del pedido,restaurante,274
719,Finalizó el envío del pedido,restaurante,280
720,Se Termino de elaborar el pedido,restaurante,284
720,Se asignó el rapartidor,restaurante,283
720,Comenzó el envio del pedido,restaurante,284
720,Finalizó el envío del pedido,farmacia,293
720,Finalizó el envío del pedido,restaurante,276
721,Entró el pedido al sistema,farmacia,301
721,Comenzó el envio del pedido,restaurante,283
721,Se asignó el rapartidor,restaurante,294
721,Entró el pedido al sistema,farmacia,302
721,Entró el pedido al sistema,restaurante,303
722,Se empezó a elaborar el pedido,farmacia,302
722,Se empezó a elaborar el pedido,restaurante,303
722,Se empezó a elaborar el pedido,farmacia,301
722,Se asignó el rapartidor,farmacia,301
722,Se Termino de elaborar el pedido,farmacia,302
722,Se Termino de elaborar el pedido,farmacia,301
722,Finalizó el envío del pedido,restaurante,278
722,Comenzó el envio del pedido,farmacia,301
723,Entró el pedido al sistema,restaurante,304
724,Se empezó a elaborar el pedido,restaurante,304
724,Se Termino de elaborar el pedido,restaurante,295
724,Finalizó el envío del pedido,restaurante,277
725,Se asignó el rapartidor,farmacia,302
725,Finalizó el envío del pedido,restaurante,284
726,Comenzó el envio del pedido,farmacia,302
726,Finalizó el envío del pedido,restaurante,287
727,Se Termino de elaborar el pedido,restaurante,298
728,Entró el pedido al sistema,restaurante,305
729,Se empezó a elaborar el pedido,restaurante,305
730,Finalizó el envío del pedido,farmacia,297
730,Finalizó el envío del pedido,farmacia,302
731,Entró el pedido al sistema,restaurante,306
731,Entró el pedido al sistema,restaurante,307
732,Se empezó a elaborar el pedido,restaurante,306
732,Se asignó el rapartidor,restaurante,291
733,Entró el pedido al sistema,almacen,308
733,Se Termino de elaborar el pedido,restaurante,289
733,Comenzó el envio del pedido,restaurante,291
733,Se empezó a elaborar el pedido,restaurante,290
733,Comenzó el envio del pedido,restaurante,289
734,Se empezó a elaborar el pedido,almacen,308
734,Se asignó el rapartidor,restaurante,286
734,Se Termino de elaborar el pedido,almacen,308
735,Entró el pedido al sistema,restaurante,309
735,Comenzó el envio del pedido,restaurante,286
735,Finalizó el envío del pedido,farmacia,301
736,Entró el pedido al sistema,almacen,310
736,Se empezó a elaborar el pedido,restaurante,309
736,Se Termino de elaborar el pedido,restaurante,300
736,Se asignó el rapartidor,restaurante,292
737,Se empezó a elaborar el pedido,almacen,310
737,Se asignó el rapartidor,almacen,308
737,Se Termino de elaborar el pedido,almacen,310
738,Entró el pedido al sistema,farmacia,311
738,Comenzó el envio del pedido,almacen,308
739,Se asignó el rapartidor,restaurante,295
739,Finalizó el envío del pedido,restaurante,289
739,Finalizó el envío del pedido,restaurante,283
739,Se empezó a elaborar el pedido,farmacia,311
739,Se Termino de elaborar el pedido,farmacia,311
740,Comenzó el envio del pedido,restaurante,295
740,Se asignó el rapartidor,farmacia,311
741,Comenzó el envio del pedido,farmacia,311
741,Se asignó el rapartidor,almacen,310
742,Entró el pedido al sistema,restaurante,312
742,Comenzó el envio del pedido,almacen,310
742,Se Termino de elaborar el pedido,restaurante,305
742,Se Termino de elaborar el pedido,restaurante,292
742,Se asignó el rapartidor,restaurante,296
742,Se empezó a elaborar el pedido,restaurante,294
742,Finalizó el envío del pedido,restaurante,291
742,Comenzó el envio del pedido,restaurante,292
743,Entró el pedido al sistema,farmacia,313
743,Se empezó a elaborar el pedido,restaurante,312
743,Se asignó el rapartidor,restaurante,300
744,Se empezó a elaborar el pedido,farmacia,313
744,Comenzó el envio del pedido,restaurante,300
744,Finalizó el envío del pedido,restaurante,295
744,Se Termino de elaborar el pedido,farmacia,313
745,Se Termino de elaborar el pedido,restaurante,306
745,Se asignó el rapartidor,farmacia,313
745,Se empezó a elaborar el pedido,restaurante,307
745,Finalizó el envío del pedido,farmacia,311
746,Se Termino de elaborar el pedido,restaurante,296
746,Comenzó el envio del pedido,farmacia,313
746,Se asignó el rapartidor,restaurante,299
746,Comenzó el envio del pedido,restaurante,296
747,Entró el pedido al sistema,restaurante,314
748,Se empezó a elaborar el pedido,restaurante,314
749,Se Termino de elaborar el pedido,restaurante,309
749,Se asignó el rapartidor,restaurante,285
750,Comenzó el envio del pedido,restaurante,285
750,Se asignó el rapartidor,restaurante,303
751,Se asignó el rapartidor,restaurante,305
751,Finalizó el envío del pedido,almacen,308
752,Entró el pedido al sistema,restaurante,315
752,Comenzó el envio del pedido,restaurante,305
753,Se empezó a elaborar el pedido,restaurante,315
753,Se Termino de elaborar el pedido,restaurante,312
753,Se asignó el rapartidor,restaurante,312
753,Finalizó el envío del pedido,restaurante,296
753,Finalizó el envío del pedido,restaurante,292
754,Entró el pedido al sistema,farmacia,316
754,Comenzó el envio del pedido,restaurante,312
754,Finalizó el envío del pedido,restaurante,286
754,Finalizó el envío del pedido,almacen,310
755,Se empezó a elaborar el pedido,farmacia,316
755,Se Termino de elaborar el pedido,restaurante,299
755,Se Termino de elaborar el pedido,farmacia,316
755,Comenzó el envio del pedido,restaurante,299
756,Entró el pedido al sistema,restaurante,317
756,Finalizó el envío del pedido,restaurante,300
757,Se Termino de elaborar el pedido,restaurante,303
757,Se empezó a elaborar el pedido,restaurante,317
757,Comenzó el envio del pedido,restaurante,303
759,Se asignó el rapartidor,restaurante,306
760,Entró el pedido al sistema,restaurante,318
760,Comenzó el envio del pedido,restaurante,306
760,Finalizó el envío del pedido,farmacia,313
760,Finalizó el envío del pedido,restaurante,312
761,Finalizó el envío del pedido,restaurante,305
762,Se asignó el rapartidor,farmacia,316
762,Finalizó el envío del pedido,restaurante,299
763,Entró el pedido al sistema,farmacia,319
763,Comenzó el envio del pedido,farmacia,316
764,Se empezó a elaborar el pedido,farmacia,319
764,Se Termino de elaborar el pedido,farmacia,319
765,Se asignó el rapartidor,restaurante,309
765,Finalizó el envío del pedido,restaurante,303
766,Entró el pedido al sistema,restaurante,320
766,Comenzó el envio del pedido,restaurante,309
766,Se Termino de elaborar el pedido,restaurante,304
766,Se asignó el rapartidor,farmacia,319
767,Se empezó a elaborar el pedido,restaurante,320
767,Comenzó el envio del pedido,farmacia,319
768,Se Termino de elaborar el pedido,restaurante,317
768,Se asignó el rapartidor,restaurante,307
768,Finalizó el envío del pedido,restaurante,285
769,Se asignó el rapartidor,restaurante,298
770,Comenzó el envio del pedido,restaurante,298
770,Se asignó el rapartidor,restaurante,304
770,Finalizó el envío del pedido,restaurante,306
771,Entró el pedido al sistema,farmacia,321
771,Comenzó el envio del pedido,restaurante,304
771,Se asignó el rapartidor,restaurante,314
772,Se empezó a elaborar el pedido,farmacia,321
772,Se asignó el rapartidor,farmacia,321
772,Se Termino de elaborar el pedido,farmacia,321
772,Finalizó el envío del pedido,restaurante,309
773,Comenzó el envio del pedido,farmacia,321
774,Se asignó el rapartidor,restaurante,315
775,Entró el pedido al sistema,almacen,322
775,Se Termino de elaborar el pedido,restaurante,294
775,Se Termino de elaborar el pedido,restaurante,290
775,Se Termino de elaborar el pedido,restaurante,314
775,Se asignó el rapartidor,restaurante,318
775,Entró el pedido al sistema,restaurante,323
775,Comenzó el envio del pedido,restaurante,314
775,Comenzó el envio del pedido,restaurante,290
775,Comenzó el envio del pedido,restaurante,294
775,Finalizó el envío del pedido,farmacia,316
776,Se empezó a elaborar el pedido,restaurante,323
776,Se empezó a elaborar el pedido,almacen,322
776,Se asignó el rapartidor,almacen,322
776,Se Termino de elaborar el pedido,almacen,322
777,Entró el pedido al sistema,restaurante,324
777,Comenzó el envio del pedido,almacen,322
778,Finalizó el envío del pedido,farmacia,321
780,Entró el pedido al sistema,restaurante,325
780,Se Termino de elaborar el pedido,restaurante,307
780,Se asignó el rapartidor,restaurante,317
780,Se empezó a elaborar el pedido,restaurante,318
780,Finalizó el envío del pedido,restaurante,294
780,Finalizó el envío del pedido,farmacia,319
780,Comenzó el envio del pedido,restaurante,307
781,Se empezó a elaborar el pedido,restaurante,325
781,Comenzó el envio del pedido,restaurante,317
782,Entró el pedido al sistema,restaurante,326
782,Se asignó el rapartidor,restaurante,324
783,Finalizó el envío del pedido,restaurante,290
784,Entró el pedido al sistema,restaurante,327
784,Finalizó el envío del pedido,restaurante,298
785,Se empezó a elaborar el pedido,restaurante,327
785,Se asignó el rapartidor,restaurante,320
786,Entró el pedido al sistema,restaurante,328
787,Se asignó el rapartidor,restaurante,326
788,Se asignó el rapartidor,restaurante,323
789,Se asignó el rapartidor,restaurante,327
789,Finalizó el envío del pedido,restaurante,314
789,Finalizó el envío del pedido,restaurante,304
790,Se Termino de elaborar el pedido,restaurante,320
790,Se empezó a elaborar el pedido,restaurante,328
790,Comenzó el envio del pedido,restaurante,320
791,Entró el pedido al sistema,farmacia,329
792,Se empezó a elaborar el pedido,farmacia,329
792,Finalizó el envío del pedido,restaurante,317
792,Se Termino de elaborar el pedido,farmacia,329
793,Entró el pedido al sistema,restaurante,330
793,Se asignó el rapartidor,restaurante,325
794,Se Termino de elaborar el pedido,restaurante,315
794,Comenzó el envio del pedido,restaurante,315
795,Se asignó el rapartidor,farmacia,329
796,Comenzó el envio del pedido,farmacia,329
796,Se Termino de elaborar el pedido,restaurante,323
796,Finalizó el envío del pedido,almacen,322
796,Comenzó el envio del pedido,restaurante,323
797,Entró el pedido al sistema,restaurante,331
798,Entró el pedido al sistema,restaurante,332
798,Se Termino de elaborar el pedido,restaurante,318
798,Se empezó a elaborar el pedido,restaurante,324
798,Comenzó el envio del pedido,restaurante,318
799,Se empezó a elaborar el pedido,restaurante,332
800,Se Termino de elaborar el pedido,restaurante,325
800,Se asignó el rapartidor,restaurante,328
800,Se empezó a elaborar el pedido,restaurante,326
800,Finalizó el envío del pedido,restaurante,307
800,Comenzó el envio del pedido,restaurante,325
802,Entró el pedido al sistema,restaurante,333
802,Entró el pedido al sistema,restaurante,334
803,Se empezó a elaborar el pedido,restaurante,333
803,Se empezó a elaborar el pedido,restaurante,334
804,Finalizó el envío del pedido,restaurante,320
805,Entró el pedido al sistema,restaurante,335
805,Se asignó el rapartidor,restaurante,330
806,Se asignó el rapartidor,restaurante,331
806,Se empezó a elaborar el pedido,restaurante,335
807,Finalizó el envío del pedido,restaurante,323
808,Finalizó el envío del pedido,restaurante,315
809,Se asignó el rapartidor,restaurante,335
